TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,Date
5448935,169114.0,41228.0,71.0,2983222.0,74857.0,2424485.0,3990.0,55142.0,417.0,81001418.0,819714.0,98816731.0,Asia,3-10-2022
5903147,168719.0,41290.0,62.0,3068033.0,84811.0,2793824.0,3934.0,59737.0,418.0,81239516.0,822103.0,98819121.0,Asia,3-12-2022
5903147,168719.0,41290.0,62.0,3068033.0,84811.0,2793824.0,3934.0,59737.0,418.0,81239516.0,822103.0,98819121.0,Asia,3-13-2022
6112648,166968.0,41385.0,95.0,3163571.0,95538.0,2907692.0,4107.0,61855.0,419.0,81481599.0,824533.0,98821512.0,Asia,3-14-2022
6377438,161262.0,41477.0,92.0,3271978.0,108407.0,3063983.0,4230.0,64533.0,420.0,81738760.0,827115.0,98823902.0,Asia,3-15-2022
6552918,175480.0,41545.0,68.0,3383142.0,111164.0,3128231.0,4269.0,66307.0,420.0,81738760.0,827095.0,98826293.0,Asia,3-16-2022
6820458,180558.0,41607.0,62.0,3547488.0,164346.0,3231363.0,4210.0,69013.0,421.0,81949741.0,829210.0,98828683.0,Asia,3-17-2022
7174423,178112.0,41683.0,76.0,3685988.0,138500.0,3446752.0,4435.0,72593.0,422.0,82126716.0,830981.0,98831073.0,Asia,3-18-2022
7641223,169245.0,41740.0,57.0,3861959.0,175971.0,3737524.0,4144.0,77312.0,422.0,82412626.0,833833.0,98835854.0,Asia,3-19-2022
7791841,150618.0,41817.0,77.0,3991393.0,129434.0,3758631.0,3691.0,78836.0,423.0,82654443.0,836280.0,98835854.0,Asia,3-20-2022
7958048,141151.0,41880.0,63.0,4103028.0,111635.0,3813140.0,3968.0,80516.0,424.0,82862859.0,838368.0,98838245.0,Asia,3-21-2022
8208179,133641.0,41949.0,69.0,4282668.0,179640.0,3883562.0,4169.0,83043.0,424.0,83048614.0,840207.0,98843026.0,Asia,3-22-2022
8338914,130735.0,42014.0,65.0,4468805.0,186137.0,3828095.0,4225.0,84365.0,425.0,83048614.0,840207.0,98843026.0,Asia,3-23-2022
8761252,108979.0,42196.0,51.0,5001564.0,175540.0,3717492.0,3889.0,88632.0,427.0,83048614.0,840146.0,98850197.0,Asia,3-24-2022
8761252,0.0,42196.0,0.0,5001564.0,0.0,3717492.0,3889.0,88632.0,427.0,83048614.0,840146.0,98850197.0,Asia,3-25-2022
9191473,93751.0,42306.0,0.0,5351978.0,185861.0,3797189.0,3447.0,92977.0,428.0,83920695.0,848907.0,98857369.0,Asia,3-27-2022
9274849,83376.0,42358.0,52.0,5474708.0,122730.0,3757783.0,3401.0,93821.0,428.0,84027988.0,849992.0,98857369.0,Asia,3-28-2022
9274849,0.0,42358.0,0.0,5474708.0,0.0,3757783.0,3401.0,93821.0,428.0,84027988.0,849992.0,98857369.0,Asia,3-29-2022
9472254,85765.0,42454.0,41.0,7268531.0,114685.0,2161269.0,3635.0,95813.0,429.0,84217005.0,851863.0,98862150.0,Asia,3-30-2022
9472254,0.0,42454.0,0.0,7268531.0,0.0,2161269.0,3635.0,95813.0,429.0,84217005.0,851863.0,98862150.0,Asia,3-31-2022
9650663,72556.0,42526.0,33.0,7606476.0,87463.0,2001661.0,2541.0,97610.0,430.0,84412291.0,853776.0,98869321.0,Asia,4-1-2022
9716282,65619.0,42563.0,37.0,7713354.0,106878.0,1960365.0,2276.0,98274.0,430.0,84490344.0,854566.0,98869321.0,Asia,4-2-2022
9716282,0.0,42563.0,0.0,7713354.0,0.0,1960365.0,2276.0,98274.0,430.0,84490344.0,854566.0,98869321.0,Asia,4-3-2022
