TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,Date
455056951,1694100.0,6057327.0,6020.0,389005207.0,1464293.0,59994417.0,66437.0,58380.0,777.1,,,,All,3-10-2022
456782519,1427964.0,6062194.0,4666.0,390358729.0,1342162.0,60361596.0,65666.0,58601.0,777.7,,,,All,3-12-2022
456782519,1427964.0,6062194.0,4666.0,390358729.0,1342162.0,60361596.0,65666.0,58601.0,777.7,,,,All,3-13-2022
458216762,1350604.0,6065862.0,3606.0,391509550.0,1150244.0,60641350.0,65436.0,58785.0,778.2,,,,All,3-14-2022
459745746,1212353.0,6067332.0,4060.0,393190485.0,1500609.0,60487929.0,65368.0,58981.0,778.4,,,,All,3-15-2022
461549658,1703552.0,6073363.0,5318.0,394903232.0,1552198.0,60573063.0,64552.0,59213.0,779.2,,,,All,3-16-2022
463693810,1856998.0,6080564.0,5579.0,396411905.0,1505694.0,61201341.0,63893.0,59488.0,780.1,,,,All,3-17-2022
465991908,2074790.0,6087487.0,6064.0,397798320.0,1383008.0,62106101.0,63415.0,59782.0,781.0,,,,All,3-18-2022
468237552,1820599.0,6093742.0,5252.0,399287576.0,1435577.0,62856234.0,62430.0,60071.0,781.8,0.0,0.0,,All,3-19-2022
469642587,1405035.0,6097588.0,3846.0,400391496.0,1103920.0,63153503.0,61681.0,60251.0,782.3,0.0,0.0,,All,3-20-2022
470865839,1140407.0,6100688.0,2929.0,407055026.0,937508.0,57710125.0,62166.0,60408.0,782.7,0.0,0.0,,All,3-21-2022
472400784,1147475.0,6116993.0,3638.0,408630134.0,1375947.0,57653657.0,61067.0,60605.0,784.8,0.0,0.0,,All,3-22-2022
474149975,1749191.0,6121987.0,4994.0,410119107.0,1488973.0,57908881.0,60703.0,60829.0,785.4,0.0,0.0,,All,3-23-2022
479555558,1588470.0,6142419.0,4616.0,414173270.0,1338186.0,59239869.0,59620.0,61523.0,788.0,0.0,0.0,,All,3-24-2022
480055511,499953.0,6143218.0,799.0,414426827.0,253557.0,59485466.0,59687.0,61587.0,788.1,0.0,0.0,,All,3-25-2022
482288217,1077287.0,6148745.0,2580.0,416388291.0,1065215.0,59751181.0,58720.0,61873.0,788.8,0.0,0.0,,All,3-27-2022
483323843,1035626.0,6151655.0,2910.0,417676157.0,1287866.0,59496031.0,58446.0,62006.0,789.2,0.0,0.0,,All,3-28-2022
484179897,856054.0,6153536.0,1881.0,418262782.0,586625.0,59763579.0,58272.0,62116.0,789.4,0.0,0.0,,All,3-29-2022
486733516,1612999.0,6162003.0,4292.0,422030865.0,1257469.0,58540648.0,58373.0,62443.0,790.5,0.0,0.0,,All,3-30-2022
487721683,988167.0,6164703.0,2700.0,422745300.0,714435.0,58811680.0,58361.0,62570.0,790.9,0.0,0.0,,All,3-31-2022
489708069,1335087.0,6171181.0,3816.0,424567568.0,1145778.0,58969320.0,56834.0,62825.0,791.7,0.0,0.0,,All,4-1-2022
490733124,1025055.0,6173918.0,2737.0,425623712.0,1056144.0,58935494.0,56178.0,62956.0,792.1,0.0,0.0,,All,4-2-2022
491255908,522784.0,6175358.0,1440.0,426134284.0,510572.0,58946266.0,56056.0,63024.0,792.2,0.0,0.0,,All,4-3-2022
